,IOD_current,IOD_lag1,IOD_lag2,IOD_lag3,IOD_lag4,IOD_lag5,IOD_lag6,IOD_lag7,IOD_lag8,IOD_lag9,IOD_lag10,IOD_lag11,IOD_lag12,Nino34_current,Nino34_lag1,Nino34_lag2,Nino34_lag3,Nino34_lag4,Nino34_lag5,Nino34_lag6,Nino34_lag7,Nino34_lag8,Nino34_lag9,Nino34_lag10,Nino34_lag11,Nino34_lag12,TNA_current,TNA_lag1,TNA_lag2,TNA_lag3,TNA_lag4,TNA_lag5,TNA_lag6,TNA_lag7,TNA_lag8,TNA_lag9,TNA_lag10,TNA_lag11,TNA_lag12
1981-09-01,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.428,,,,,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.45,,,,,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16,0.27,,,,
1981-10-01,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.428,,,,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.45,,,,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16,0.27,,,
1981-11-01,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.428,,,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.45,,,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16,0.27,,
1981-12-01,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.428,,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.45,,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16,0.27,
1982-01-01,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.428,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.45,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16,0.27
1982-02-01,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.327,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.45,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6,0.16
1982-03-01,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,-0.126,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.02,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34,0.6
1982-04-01,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,-0.384,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.17,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36,0.34
1982-05-01,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,-0.445,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.11,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18,0.36
1982-06-01,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,-0.606,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.15,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15,0.18
1982-07-01,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,-0.524,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.43,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09,0.15
1982-08-01,-0.277,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,-0.599,0.93,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.18,-0.3,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14,0.09
1982-09-01,-0.125,-0.277,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,-0.618,1.39,0.93,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.07,-0.28,-0.3,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04,0.14
1982-10-01,-0.007,-0.125,-0.277,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,-0.5,2.0,1.39,0.93,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.03,-0.34,-0.28,-0.3,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13,0.04
1982-11-01,-0.1,-0.007,-0.125,-0.277,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,-0.606,2.07,2.0,1.39,0.93,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.27,-0.46,-0.34,-0.28,-0.3,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27,0.13
1982-12-01,-0.036,-0.1,-0.007,-0.125,-0.277,-0.263,-0.341,-0.249,-0.331,-0.362,-0.407,-0.397,-0.37,2.33,2.07,2.0,1.39,0.93,0.64,0.92,0.65,0.24,-0.02,-0.13,-0.04,0.07,-0.5,-0.46,-0.34,-0.28,-0.3,-0.27,-0.15,-0.03,-0.16,-0.07,-0.07,0.19,0.27
