,IOD
1870-01-01,-0.864
1870-02-01,-0.939
1870-03-01,-0.51
1870-04-01,-0.434
1870-05-01,-0.895
1870-06-01,-0.971
1870-07-01,-0.895
1870-08-01,-0.676
1870-09-01,-0.863
1870-10-01,-0.86
1870-11-01,-0.765
1870-12-01,-0.791
1871-01-01,-0.657
1871-02-01,-0.635
1871-03-01,-0.702
1871-04-01,-0.734
1871-05-01,-0.86
1871-06-01,-0.952
1871-07-01,-0.827
1871-08-01,-0.816
1871-09-01,-0.982
1871-10-01,-1.106
1871-11-01,-0.778
1871-12-01,-0.832
1872-01-01,-0.749
1872-02-01,-0.588
1872-03-01,-0.645
1872-04-01,-0.745
1872-05-01,-0.611
1872-06-01,-0.565
1872-07-01,-0.68
1872-08-01,-0.768
1872-09-01,-0.741
1872-10-01,-0.734
1872-11-01,-0.517
1872-12-01,-0.759
1873-01-01,-0.666
1873-02-01,-0.991
1873-03-01,-1.117
1873-04-01,-0.863
1873-05-01,-1.097
1873-06-01,-1.158
1873-07-01,-1.131
1873-08-01,-1.136
1873-09-01,-0.839
1873-10-01,-1.01
1873-11-01,-0.908
1873-12-01,-0.975
1874-01-01,-0.711
1874-02-01,-0.804
1874-03-01,-0.722
1874-04-01,-0.962
1874-05-01,-0.967
1874-06-01,-0.91
1874-07-01,-0.642
1874-08-01,-1.026
1874-09-01,-1.054
1874-10-01,-1.408
1874-11-01,-1.32
1874-12-01,-1.21
1875-01-01,-0.89
1875-02-01,-0.798
1875-03-01,-0.791
1875-04-01,-0.828
1875-05-01,-0.666
1875-06-01,-0.882
1875-07-01,-1.157
1875-08-01,-0.959
1875-09-01,-0.961
1875-10-01,-0.932
1875-11-01,-0.915
1875-12-01,-1.105
1876-01-01,-1.097
1876-02-01,-1.043
1876-03-01,-0.816
1876-04-01,-0.888
1876-05-01,-0.949
1876-06-01,-1.221
1876-07-01,-1.077
1876-08-01,-0.954
1876-09-01,-0.984
1876-10-01,-1.064
1876-11-01,-1.176
1876-12-01,-1.079
1877-01-01,-0.97
1877-02-01,-0.45
1877-03-01,-0.494
1877-04-01,-0.831
1877-05-01,-1.035
1877-06-01,-0.72
1877-07-01,-0.575
1877-08-01,-0.433
1877-09-01,-0.135
1877-10-01,-0.231
1877-11-01,-0.234
1877-12-01,-0.18
1878-01-01,-0.106
1878-02-01,0.117
1878-03-01,0.097
1878-04-01,0.009
1878-05-01,-0.221
1878-06-01,-0.224
1878-07-01,-0.256
1878-08-01,-0.343
1878-09-01,-0.564
1878-10-01,-0.639
1878-11-01,-0.813
1878-12-01,-0.69
1879-01-01,-0.652
1879-02-01,-0.717
1879-03-01,-0.689
1879-04-01,-0.897
1879-05-01,-0.871
1879-06-01,-0.722
1879-07-01,-0.688
1879-08-01,-0.974
1879-09-01,-0.925
1879-10-01,-1.174
1879-11-01,-1.328
