Date,Nino34
1870-01-01,-1.0
1870-02-01,-0.82
1870-03-01,-0.83
1870-04-01,-0.81
1870-05-01,-1.27
1870-06-01,-1.08
1870-07-01,-1.04
1870-08-01,-0.88
1870-09-01,-0.53
1870-10-01,-0.92
1870-11-01,-0.79
1870-12-01,-0.79
1871-01-01,-0.25
1871-02-01,-0.58
1871-03-01,-0.43
1871-04-01,-0.5
1871-05-01,-0.7
1871-06-01,-0.53
1871-07-01,-0.6
1871-08-01,-0.33
1871-09-01,-0.24
1871-10-01,-0.33
1871-11-01,-0.31
1871-12-01,-0.58
1872-01-01,-0.72
1872-02-01,-0.62
1872-03-01,-0.5
1872-04-01,-0.77
1872-05-01,-0.62
1872-06-01,-0.52
1872-07-01,-0.32
1872-08-01,-0.85
1872-09-01,-1.02
1872-10-01,-0.94
1872-11-01,-0.79
1872-12-01,-0.88
1873-01-01,-0.78
1873-02-01,-1.01
1873-03-01,-1.31
1873-04-01,-0.67
1873-05-01,-0.53
1873-06-01,-0.48
1873-07-01,-0.58
1873-08-01,-0.39
1873-09-01,-0.34
1873-10-01,-0.78
1873-11-01,-0.77
1873-12-01,-0.7
1874-01-01,-0.93
1874-02-01,-1.06
1874-03-01,-1.4
1874-04-01,-0.94
1874-05-01,-0.86
1874-06-01,-0.72
1874-07-01,-1.0
1874-08-01,-1.05
1874-09-01,-1.13
1874-10-01,-1.25
1874-11-01,-1.33
1874-12-01,-1.14
1875-01-01,-0.71
1875-02-01,-0.37
1875-03-01,-0.59
1875-04-01,-0.87
1875-05-01,-1.09
1875-06-01,-0.76
1875-07-01,-0.85
1875-08-01,-0.81
1875-09-01,-0.91
1875-10-01,-0.83
1875-11-01,-0.64
1875-12-01,-0.75
1876-01-01,-0.95
1876-02-01,-1.2
1876-03-01,-1.13
1876-04-01,-1.18
1876-05-01,-1.08
1876-06-01,-0.43
1876-07-01,-0.34
1876-08-01,-0.16
1876-09-01,-0.02
1876-10-01,0.11
1876-11-01,0.15
1876-12-01,0.23
1877-01-01,0.35
1877-02-01,0.46
1877-03-01,0.52
1877-04-01,0.5
1877-05-01,0.76
1877-06-01,0.98
1877-07-01,1.42
1877-08-01,1.54
1877-09-01,1.75
1877-10-01,1.95
1877-11-01,2.08
1877-12-01,2.49
1878-01-01,2.41
1878-02-01,2.43
1878-03-01,1.31
1878-04-01,0.92
1878-05-01,0.82
1878-06-01,0.92
1878-07-01,0.25
1878-08-01,-0.11
1878-09-01,-0.32
1878-10-01,-0.53
1878-11-01,-0.7
1878-12-01,-0.75
1879-01-01,-0.55
1879-02-01,-0.18
1879-03-01,-0.24
1879-04-01,-0.37
1879-05-01,-0.83
1879-06-01,-0.67
1879-07-01,-0.77
1879-08-01,-0.69
1879-09-01,-0.83
1879-10-01,-0.93
1879-11-01,-1.14
1879-12-01,-1.02
1880-01-01,-1.0
1880-02-01,-0.73
1880-03-01,-0.62
1880-04-01,-0.57
1880-05-01,-0.71
1880-06-01,-0.61
1880-07-01,-0.53
1880-08-01,-0.24
1880-09-01,-0.03
1880-10-01,0.17
1880-11-01,0.24
1880-12-01,0.18
1881-01-01,0.29
1881-02-01,0.23
1881-03-01,0.32
1881-04-01,0.41
1881-05-01,0.16
1881-06-01,0.23
1881-07-01,-0.26
1881-08-01,-0.17
1881-09-01,-0.33
1881-10-01,-0.43
1881-11-01,-0.59
1881-12-01,-0.37
1882-01-01,-0.45
1882-02-01,-0.55
1882-03-01,-0.53
1882-04-01,0.1
1882-05-01,0.01
1882-06-01,-0.4
1882-07-01,-0.57
1882-08-01,-0.33
1882-09-01,-0.51
1882-10-01,-0.65
1882-11-01,-0.92
1882-12-01,-0.75
1883-01-01,-0.46
1883-02-01,-0.49
1883-03-01,-0.4
1883-04-01,-0.23
1883-05-01,-0.38
1883-06-01,-0.21
1883-07-01,-0.01
1883-08-01,-0.03
1883-09-01,-0.17
1883-10-01,-0.42
1883-11-01,-0.22
1883-12-01,-0.14
1884-01-01,-0.11
1884-02-01,-0.01
1884-03-01,-0.0
1884-04-01,0.26
1884-05-01,0.4
1884-06-01,-0.13
1884-07-01,0.28
1884-08-01,0.2
1884-09-01,0.18
1884-10-01,0.29
1884-11-01,0.3
1884-12-01,0.35
1885-01-01,0.12
1885-02-01,0.27
1885-03-01,0.12
1885-04-01,-0.02
1885-05-01,0.44
1885-06-01,0.17
1885-07-01,0.08
1885-08-01,0.34
1885-09-01,0.52
1885-10-01,0.72
1885-11-01,0.81
1885-12-01,1.02
1886-01-01,0.17
1886-02-01,-0.1
1886-03-01,-0.11
1886-04-01,-0.37
1886-05-01,-0.85
1886-06-01,-0.9
1886-07-01,-0.97
1886-08-01,-1.03
1886-09-01,-1.21
1886-10-01,-1.14
1886-11-01,-1.34
1886-12-01,-1.44
1887-01-01,-0.68
1887-02-01,-1.02
1887-03-01,-1.17
1887-04-01,-1.18
1887-05-01,-1.14
1887-06-01,-0.56
1887-07-01,-0.55
1887-08-01,-0.62
1887-09-01,-0.34
1887-10-01,-0.12
1887-11-01,0.04
1887-12-01,0.15
1888-01-01,0.15
1888-02-01,0.66
1888-03-01,0.4
1888-04-01,0.3
1888-05-01,0.47
1888-06-01,0.4
1888-07-01,0.56
1888-08-01,0.93
1888-09-01,0.58
1888-10-01,1.42
1888-11-01,2.21
1888-12-01,1.67
1889-01-01,1.98
1889-02-01,1.47
1889-03-01,0.83
1889-04-01,0.46
1889-05-01,0.32
1889-06-01,0.09
1889-07-01,-0.76
1889-08-01,-0.99
1889-09-01,-0.92
1889-10-01,-1.31
1889-11-01,-1.08
1889-12-01,-1.25
1890-01-01,-2.49
1890-02-01,-2.11
1890-03-01,-1.15
1890-04-01,-1.14
1890-05-01,-1.0
1890-06-01,-0.86
1890-07-01,-0.92
1890-08-01,-1.38
1890-09-01,-1.29
1890-10-01,-1.26
1890-11-01,-1.07
1890-12-01,-0.68
1891-01-01,-0.45
1891-02-01,-0.25
1891-03-01,-0.07
1891-04-01,0.15
1891-05-01,0.13
1891-06-01,0.29
1891-07-01,0.11
1891-08-01,0.05
1891-09-01,-0.08
1891-10-01,-0.03
1891-11-01,0.06
1891-12-01,0.01
1892-01-01,-0.5
1892-02-01,-0.34
1892-03-01,-0.58
1892-04-01,-0.65
1892-05-01,-0.72
1892-06-01,-0.57
1892-07-01,-0.62
