Date,   TNAa  missing value -99.99 https://psl.noaa.gov/data/timeseries/month/
1870-01-01,   -0.260
1870-02-01,   -0.360
1870-03-01,   -0.380
1870-04-01,   -0.480
1870-05-01,   -0.440
1870-06-01,   -0.410
1870-07-01,   -0.370
1870-08-01,   -0.240
1870-09-01,   -0.220
1870-10-01,   -0.020
1870-11-01,    0.010
1870-12-01,   -0.190
1871-01-01,   -0.350
1871-02-01,   -0.510
1871-03-01,   -0.250
1871-04-01,   -0.130
1871-05-01,   -0.110
1871-06-01,   -0.160
1871-07-01,   -0.230
1871-08-01,   -0.400
1871-09-01,   -0.600
1871-10-01,   -0.640
1871-11-01,   -0.400
1871-12-01,   -0.500
1872-01-01,   -0.640
1872-02-01,   -0.800
1872-03-01,   -0.570
1872-04-01,   -0.600
1872-05-01,   -0.510
1872-06-01,   -0.470
1872-07-01,   -0.500
1872-08-01,   -0.260
1872-09-01,   -0.300
1872-10-01,   -0.590
1872-11-01,   -0.660
1872-12-01,   -0.790
1873-01-01,   -0.670
1873-02-01,   -0.660
1873-03-01,   -0.690
1873-04-01,   -0.490
1873-05-01,   -0.660
1873-06-01,   -0.640
1873-07-01,   -0.490
1873-08-01,   -0.350
1873-09-01,   -0.320
1873-10-01,   -0.400
1873-11-01,   -0.380
1873-12-01,   -0.450
1874-01-01,   -0.440
1874-02-01,   -0.580
1874-03-01,   -0.490
1874-04-01,   -0.420
1874-05-01,   -0.230
1874-06-01,   -0.240
1874-07-01,   -0.300
1874-08-01,   -0.400
1874-09-01,   -0.530
1874-10-01,   -0.650
1874-11-01,   -0.750
1874-12-01,   -0.720
1875-01-01,   -0.580
1875-02-01,   -0.430
1875-03-01,   -0.260
1875-04-01,   -0.450
1875-05-01,   -0.190
1875-06-01,   -0.280
1875-07-01,   -0.460
1875-08-01,   -0.420
1875-09-01,   -0.300
1875-10-01,   -0.340
1875-11-01,   -0.250
1875-12-01,   -0.400
1876-01-01,   -0.320
1876-02-01,   -0.460
1876-03-01,   -0.290
1876-04-01,   -0.440
1876-05-01,   -0.460
1876-06-01,   -0.480
1876-07-01,   -0.280
1876-08-01,   -0.200
1876-09-01,   -0.380
1876-10-01,   -0.250
1876-11-01,   -0.140
1876-12-01,   -0.080
1877-01-01,   -0.080
1877-02-01,    0.130
1877-03-01,    0.200
1877-04-01,    0.240
1877-05-01,    0.120
1877-06-01,    0.180
1877-07-01,    0.120
1877-08-01,    0.120
1877-09-01,    0.260
1877-10-01,    0.140
1877-11-01,    0.100
1877-12-01,    0.120
1878-01-01,    0.200
1878-02-01,    0.320
1878-03-01,    0.530
1878-04-01,    0.590
1878-05-01,    0.750
1878-06-01,    0.590
1878-07-01,    0.480
1878-08-01,    0.460
1878-09-01,    0.340
1878-10-01,    0.230
1878-11-01,    0.280
1878-12-01,    0.420
1879-01-01,    0.460
1879-02-01,    0.080
1879-03-01,   -0.130
1879-04-01,   -0.230
1879-05-01,   -0.040
1879-06-01,   -0.100
1879-07-01,   -0.170
1879-08-01,   -0.430
1879-09-01,   -0.320
1879-10-01,   -0.380
1879-11-01,   -0.220
1879-12-01,    0.020
1880-01-01,   -0.000
1880-02-01,    0.000
1880-03-01,   -0.240
1880-04-01,   -0.300
1880-05-01,   -0.460
1880-06-01,   -0.500
1880-07-01,   -0.410
1880-08-01,   -0.400
1880-09-01,   -0.380
1880-10-01,   -0.290
1880-11-01,   -0.200
1880-12-01,   -0.050
1881-01-01,    0.050
1881-02-01,    0.180
1881-03-01,    0.350
1881-04-01,    0.370
1881-05-01,    0.280
1881-06-01,    0.110
1881-07-01,    0.070
1881-08-01,   -0.040
1881-09-01,   -0.100
1881-10-01,   -0.290
1881-11-01,   -0.460
1881-12-01,   -0.440
1882-01-01,   -0.430
1882-02-01,   -0.310
1882-03-01,   -0.150
1882-04-01,   -0.130
1882-05-01,   -0.250
1882-06-01,   -0.340
1882-07-01,   -0.410
1882-08-01,   -0.410
1882-09-01,   -0.440
1882-10-01,   -0.400
1882-11-01,   -0.350
1882-12-01,   -0.340
1883-01-01,   -0.160
1883-02-01,   -0.360
1883-03-01,   -0.390
1883-04-01,   -0.360
1883-05-01,   -0.340
1883-06-01,   -0.270
1883-07-01,   -0.440
1883-08-01,   -0.480
1883-09-01,   -0.460
1883-10-01,   -0.610
1883-11-01,   -0.490
1883-12-01,   -0.480
1884-01-01,   -0.460
1884-02-01,   -0.710
1884-03-01,   -0.730
1884-04-01,   -0.570
1884-05-01,   -0.320
1884-06-01,   -0.180
1884-07-01,   -0.460
1884-08-01,   -0.230
1884-09-01,   -0.300
1884-10-01,   -0.460
1884-11-01,   -0.560
1884-12-01,   -0.340
1885-01-01,   -0.220
1885-02-01,   -0.250
1885-03-01,   -0.410
1885-04-01,   -0.550
1885-05-01,   -0.480
1885-06-01,   -0.410
1885-07-01,   -0.320
1885-08-01,   -0.150
1885-09-01,   -0.080
1885-10-01,   -0.120
1885-11-01,   -0.090
1885-12-01,   -0.060
1886-01-01,    0.140
1886-02-01,    0.080
1886-03-01,    0.180
1886-04-01,    0.230
1886-05-01,    0.240
1886-06-01,    0.190
1886-07-01,    0.040
1886-08-01,   -0.130
1886-09-01,   -0.210
1886-10-01,   -0.360
1886-11-01,   -0.380
1886-12-01,   -0.360
1887-01-01,   -0.480
1887-02-01,   -0.370
1887-03-01,   -0.310
1887-04-01,   -0.270
1887-05-01,   -0.180
1887-06-01,   -0.030
1887-07-01,    0.040
1887-08-01,   -0.060
1887-09-01,   -0.060
1887-10-01,   -0.080
1887-11-01,   -0.060
1887-12-01,    0.050
1888-01-01,    0.110
1888-02-01,    0.130
1888-03-01,    0.250
1888-04-01,    0.010
1888-05-01,   -0.020
1888-06-01,    0.070
1888-07-01,   -0.180
1888-08-01,   -0.160
1888-09-01,   -0.130
1888-10-01,    0.200
1888-11-01,    0.110
1888-12-01,   -0.010
1889-01-01,    0.160
1889-02-01,    0.180
1889-03-01,    0.390
1889-04-01,    0.290
1889-05-01,    0.090
1889-06-01,   -0.100
1889-07-01,   -0.210
1889-08-01,   -0.210
1889-09-01,   -0.120
1889-10-01,   -0.240
1889-11-01,   -0.350
1889-12-01,   -0.490
1890-01-01,   -0.700
1890-02-01,   -0.640
1890-03-01,   -0.550
1890-04-01,   -0.630
1890-05-01,   -0.660
1890-06-01,   -0.640
1890-07-01,   -0.790
1890-08-01,   -0.860
1890-09-01,   -0.760
1890-10-01,   -0.580
1890-11-01,   -0.620
1890-12-01,   -0.530
1891-01-01,   -0.560
1891-02-01,   -0.450
1891-03-01,   -0.180
1891-04-01,   -0.020
1891-05-01,    0.100
1891-06-01,    0.120
1891-07-01,    0.090
1891-08-01,    0.060
1891-09-01,   -0.050
1891-10-01,   -0.200
1891-11-01,   -0.330
1891-12-01,   -0.250
1892-01-01,   -0.120
1892-02-01,    0.030
1892-03-01,    0.020
1892-04-01,   -0.160
1892-05-01,   -0.310
1892-06-01,   -0.360
1892-07-01,   -0.420
1892-08-01,   -0.420
1892-09-01,   -0.340
1892-10-01,   -0.480
1892-11-01,   -0.320
1892-12-01,   -0.280
1893-01-01,   -0.070
1893-02-01,   -0.280
1893-03-01,   -0.190
1893-04-01,   -0.300
1893-05-01,   -0.180
1893-06-01,   -0.100
1893-07-01,    0.060
1893-08-01,   -0.030
1893-09-01,   -0.160
1893-10-01,   -0.190
1893-11-01,   -0.130
1893-12-01,   -0.230
1894-01-01,   -0.460
1894-02-01,   -0.630
1894-03-01,   -0.780
1894-04-01,   -0.770
1894-05-01,   -0.740
