,IOD,Nino34,TNA
2015-09-01,0.595,2.01,0.72
2015-10-01,0.588,2.21,0.93
2015-11-01,0.6,2.57,0.49
2015-12-01,0.767,2.56,0.42
2016-01-01,0.796,2.56,0.5
2016-02-01,0.449,2.11,0.45
2016-03-01,0.844,1.6,0.39
2016-04-01,0.707,1.05,0.32
2016-05-01,0.429,0.45,0.38
2016-06-01,0.105,0.06,0.39
2016-07-01,-0.138,-0.25,0.37
2016-08-01,0.154,-0.48,0.49
2016-09-01,0.064,-0.46,0.39
2016-10-01,-0.007,-0.75,0.55
2016-11-01,-0.001,-0.63,0.46
2016-12-01,0.117,-0.51,0.52
2017-01-01,0.044,-0.34,0.49
2017-02-01,0.058,-0.01,0.23
2017-03-01,0.03,-0.09,0.13
2017-04-01,0.121,0.22,0.47
2017-05-01,0.303,0.3,0.58
2017-06-01,0.197,0.22,0.6
2017-07-01,0.426,0.22,0.6
2017-08-01,0.43,-0.18,0.67
2017-09-01,0.176,-0.56,0.52
2017-10-01,0.254,-0.52,0.45
2017-11-01,0.095,-0.84,0.53
2017-12-01,-0.18,-0.85,0.54
2018-01-01,-0.388,-0.86,0.28
2018-02-01,0.067,-0.73,-0.09
2018-03-01,-0.022,-0.73,0.02
2018-04-01,0.051,-0.36,-0.17
2018-05-01,0.05,-0.12,-0.4
2018-06-01,-0.026,0.12,-0.48
2018-07-01,-0.144,0.27,-0.21
2018-08-01,-0.012,0.05,0.01
2018-09-01,0.329,0.3,0.33
2018-10-01,0.389,0.84,0.29
2018-11-01,0.367,1.0,-0.01
2018-12-01,0.321,0.97,-0.04
2019-01-01,0.393,0.51,0.08
2019-02-01,0.303,0.62,0.14
2019-03-01,0.253,0.81,0.01
2019-04-01,0.377,0.67,-0.02
2019-05-01,0.471,0.61,0.12
2019-06-01,0.507,0.66,0.3
2019-07-01,0.333,0.41,0.37
2019-08-01,0.252,0.19,0.42
2019-09-01,0.257,0.11,0.57
2019-10-01,0.719,0.55,0.44
2019-11-01,0.667,0.74,0.26
2019-12-01,0.479,0.51,0.25
2020-01-01,0.676,0.64,0.25
2020-02-01,0.575,0.48,0.5
2020-03-01,0.387,0.36,0.73
2020-04-01,0.511,0.49,0.62
2020-05-01,0.434,-0.12,0.52
2020-06-01,0.514,-0.21,0.72
2020-07-01,0.443,-0.04,0.65
2020-08-01,0.107,-0.42,0.59
2020-09-01,0.004,-0.66,0.52
2020-10-01,0.155,-1.19,0.61
2020-11-01,0.103,-1.01,0.39
2020-12-01,0.035,-0.98,0.46
2021-01-01,-0.077,-1.04,0.52
2021-02-01,0.061,-0.94,0.41
2021-03-01,0.131,-0.72,0.14
2021-04-01,0.035,-0.55,0.32
2021-05-01,0.035,-0.41,0.24
2021-06-01,-0.014,-0.06,0.14
2021-07-01,0.092,-0.2,0.25
2021-08-01,0.047,-0.38,0.26
2021-09-01,0.078,-0.5,0.54
2021-10-01,-0.069,-0.78,0.46
2021-11-01,0.035,-0.88,0.42
2021-12-01,0.124,-1.07,0.46
2022-01-01,0.239,-0.77,0.61
2022-02-01,0.037,-0.68,0.57
2022-03-01,0.038,-0.84,0.08
2022-04-01,0.157,-0.9,0.04
2022-05-01,-0.057,-1.02,0.34
2022-06-01,-0.09,-0.77,0.48
2022-07-01,-0.231,-0.56,0.32
2022-08-01,-0.075,-0.96,0.47
2022-09-01,-0.095,-1.06,0.62
2022-10-01,-0.349,-0.99,0.5
2022-11-01,-0.135,-0.76,0.33
2022-12-01,-0.001,-0.86,0.47
2023-01-01,-0.084,-0.78,0.47
2023-02-01,-0.057,-0.62,0.22
2023-03-01,0.13,-0.13,0.64
2023-04-01,0.412,0.24,0.78
2023-05-01,0.423,0.47,1.04
2023-06-01,0.602,0.95,1.41
2023-07-01,0.497,1.2,1.41
2023-08-01,0.75,1.56,1.36
2023-09-01,0.73,1.65,1.43
2023-10-01,0.784,1.59,1.32
2023-11-01,0.836,2.01,1.09
2023-12-01,1.012,1.81,1.17
